"id","created_at","source","original_text","lang","favorite_count","retweet_count","original_author","hashtags","user_mentions"
"1245796189372637184","Thu Apr 02 19:32:11 +0000 2020","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Coronavirus en Perú: se incrementó a 55 la cifra de muertos por COVID-19, informó el Minsa https://t.co/hM8Pt9Kxih","es","0","0","Lima_ECpe","",""
"1245796180904357890","Thu Apr 02 19:32:09 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @astursalud: 📌 ACTUALIZACIÓN SITUACIÓN #COVID19  #Asturias
Casos positivos: 1.433 (*)
Casos activos: 1.209
Curaciones: 154 (*)
Fallecim…","es","0","25","egcvx","COVID19, Asturias","astursalud"
"1245796172557664256","Thu Apr 02 19:32:07 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @lucas___marco: Éste es el doctor Drake Ramoray, licenciado en epidemiologia, actualmente, se encuentra trabajando en una cura contra el…","es","0","5","andreabds25","","lucas___marco"
"1245796164064153606","Thu Apr 02 19:32:05 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TelediarioEC: #TelediarioEC | El hospital 'Isidro Ayora' en Loja dio el alta a tres pacientes de #coronavirus #Covid_19. Vía telefónica…","es","0","23","diana_Lop27","TelediarioEC, coronavirus, Covid_19","TelediarioEC"
"1245796155352666114","Thu Apr 02 19:32:03 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PARAGUAYO JUNTOS 🇹🇼 Y CON USTEDES 🇵🇾 vamos a luchar para tratar de aguantar este golpe ! Confío que se están hacien… https://t.co/Sxl5f6BiRF","es","0","314","jjbernall","",""
"1245796147391680512","Thu Apr 02 19:32:01 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @beltrandelrio: Hay tres cosas que los líderes populistas detestan y este tipo de crisis del Covid-19 revaloriza: el saber experto, las…","es","0","3","1973Asantos","","beltrandelrio"
"1245796139057766400","Thu Apr 02 19:31:59 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @RTultimahora: ÚLTIMA HORA: Un millón de personas, contagiadas con covid-19 en todo el mundo https://t.co/7oMrfPaIRG https://t.co/jNajIP…","es","0","5","olive_bildad","","RTultimahora"
"1245796130543349760","Thu Apr 02 19:31:57 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Me parece a mi que tantos políticos de todos los colores quieren salir en la foto de la crisis del #COVID19 que al… https://t.co/sOvZyjefLx","es","0","1","ang_marfab","COVID19",""
"1245796121919795202","Thu Apr 02 19:31:55 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JhonWick77: La Nueva Santa De la #Izquierdademierda
La dueña de la verdad,la única capaz de Solucionar y sanar del #coronavirus La ""DI…","es","0","165","GerardoSaavedra","Izquierdademierda, coronavirus","JhonWick77"
"1245796113912745985","Thu Apr 02 19:31:53 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @HLGatell: En cuanto al equipamiento e insumos para la atención de pacientes por #COVID19 aseguramos que hay suficiencia. Tenemos ventil…","es","0","165","J_Torres_J","COVID19","HLGatell"
"1245796105327124482","Thu Apr 02 19:31:51 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ConElMazoDando: ¡Entérate! Suspenderan pagos de créditos hipotecarios por adquisición de viviendas (+Covid-19) https://t.co/ZRyDwsENOB…","es","0","1","ANDREIN76699681","","ConElMazoDando"
"1245796096686817282","Thu Apr 02 19:31:49 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @mexevalua: En corto, la diputada @PerezSoraya exhorta al Ejecutivo a decretar beneficios fiscales para los contribuyentes. ¿Cuáles? Pla…","es","0","5443","carlos_on_twtt","","mexevalua, PerezSoraya"
"1245796088415690759","Thu Apr 02 19:31:47 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Meduxat1: Si tuvieran que sacrificar un ex presidente para salvarnos de covid-19 cual sería..y porque Macri?","es","0","3361","rel_dub","","Meduxat1"
"1245796080308178944","Thu Apr 02 19:31:45 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JAJAJAJAJA BAUTISMOS EN TIEMPOS DE #coronavirus https://t.co/pA0wqxRdLR","es","0","0","Mary_Lopez21","coronavirus",""
"1245796071407792129","Thu Apr 02 19:31:43 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @reinablancomg: Ahi vas a ver a la gente huir de las playas y eventos cuando se desmaye un contagiado de covid 19 en mera tarima con dim…","es","0","9","radfeminadia","","reinablancomg"
"1245796063513989120","Thu Apr 02 19:31:41 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Acciones para mitigar los daos en la Industria y Activar la economía a causa del #COVID19

#CANIRAC https://t.co/KiAo1R6ooe","es","0","69","CaniracDgo","COVID19, CANIRAC",""
"1245796055083634689","Thu Apr 02 19:31:39 +0000 2020","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @RoaJavier: La pandemia del #coronavirus ha revelado quien es quien en cuanto a solidaridad y humanismo.
Por una lado #EEUU y el Vatica…","es","0","6352","warmiclau","coronavirus, EEUU","RoaJavier"
"1245796046854389764","Thu Apr 02 19:31:37 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @NTN24ve: #ECUADOR Un hombre llora a las afueras de un hospital en Guayaquil porque a su padre no lo quieren recibir a pesar de que pres…","es","0","104","cristccs","ECUADOR","NTN24ve"
"1245796038050447361","Thu Apr 02 19:31:35 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Noticias_crc: 📽🆘️🆘️🆘️ #Ecuador
#coronavirus
🛑 Lenin Moreno sin capacidad para enfrentar esta pandemia, las cosas están peor cada día.…","es","0","127","GastonMatiasOr1","Ecuador, coronavirus","Noticias_crc"
"1245796030064582656","Thu Apr 02 19:31:33 +0000 2020","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @_mariajose1: En plena crisis del covid-19 y los políticos del siglo XX, todavía se aprovechan de cada desgracia para sacar raja.","es","0","174","HdezEfra503","","_mariajose1"
"1245796021499834368","Thu Apr 02 19:31:31 +0000 2020","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @KWCONTINENTE: #NacionalesKW Privados de libertad del centro de detención Tinajitas reciben útiles de aseo personal y de limpieza, dentr…","es","0","0","ARACELISGIRALDE","NacionalesKW","KWCONTINENTE"
"1245796012419100675","Thu Apr 02 19:31:29 +0000 2020","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CuadraLab: El sector turístico español reclama medidas urgentes al Gobierno para una industria que representa el 12,5% del PIB y el 13%…","es","0","2","ObserBlockchain","","CuadraLab"
